Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
104 Ulten,2.845,35,28,3,1,2,1,0
105 Pfatten,913,120,20,26,59,11,4,0
106 Olang,2.941,156,64,52,13,27,0,0
107 Pfitsch,2.688,188,63,30,20,73,2,0
108 Ahrntal,5.803,146,83,32,20,11,0,0
109 Gsies,2.236,57,28,23,5,1,0,0
110 Vintl,3.134,152,55,35,36,25,1,0
111 Vahrn,4.070,342,179,88,19,55,1,0
112 Vöran,923,24,17,5,1,1,0,0
113 Niederdorf,1.407,117,33,48,11,20,5,0
114 Villanders,1.823,51,24,8,2,17,0,0
115 Sterzing,6.107,606,209,173,33,182,9,0
116 Feldthurns,2.675,89,46,11,1,29,2,0
117 Wengen,1.300,26,12,14,0,0,0,0
118 U.L.Frau i.W.-St.Felix,765,7,5,1,0,0,1,0
