Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
098 Tramin a.d. Weinstr.,3.077,202,86,50,18,36,12,0
099 Tisens,1.808,73,57,14,0,0,2,0
100 Tiers,908,56,21,22,3,8,2,0
101 Tirol,2.337,109,87,13,1,7,1,0
102 Truden im Naturpark,935,88,25,55,5,3,0,0
103 Taufers im Münstertal,936,34,23,8,3,0,0,0
104 Ulten,2.854,34,28,1,1,4,0,0
105 Pfatten,921,110,21,25,52,10,2,0
106 Olang,2.944,160,72,52,9,27,0,0
107 Pfitsch,2.671,209,63,38,23,84,1,0
108 Ahrntal,5.798,138,89,25,18,6,0,0
109 Gsies,2.222,52,27,22,3,0,0,0
110 Vintl,3.122,150,47,30,49,22,2,0
111 Vahrn,4.013,361,187,92,22,56,4,0
112 Vöran,920,26,19,5,1,1,0,0
113 Niederdorf,1.377,128,36,55,8,25,4,0
114 Villanders,1.826,62,31,12,2,17,0,0
115 Sterzing,6.020,590,221,168,33,160,8,0
116 Feldthurns,2.693,88,46,13,1,26,2,0
117 Wengen,1.288,21,10,11,0,0,0,0
118 U.L.Frau i.W.-St.Felix,776,7,4,1,0,1,1,0
