Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
068 Prettau,648,2,2,0,0,0,0,0
069 Proveis,283,0,0,0,0,0,0,0
070 Ratschings,3.831,39,27,4,6,2,0,0
071 Rasen-Antholz,2.667,28,21,5,0,1,1,0
072 Ritten,6.552,195,98,64,4,26,3,0
073 Riffian,1.143,25,9,5,4,7,0,0
074 Mühlbach,2.504,68,22,20,19,6,1,0
075 Rodeneck,1.103,9,5,4,0,0,0,0
076 Salurn,2.764,113,51,24,22,9,7,0
077 Innichen,3.031,63,41,5,8,9,0,0
079 Jenesien,2.532,17,10,6,1,0,0,0
080 St.Leonhard in Pass.,3.385,32,21,9,0,2,0,0
081 St.Lorenzen,3.261,39,24,12,0,3,0,0
082 St.Martin in Thurn,1.580,5,1,0,4,0,0,0
083 St.Martin in Passeier,2.806,27,19,3,2,0,0,3
084 St.Pankraz,1.565,4,4,0,0,0,0,0
085 St.Christina in Gröden,1.663,33,16,0,4,1,12,0
086 Sarntal,6.438,44,26,6,8,0,4,0
087 Schenna,2.580,49,44,3,1,0,1,0
088 Mühlwald,1.434,5,5,0,0,0,0,0
089 Wolkenstein in Gröden,2.397,25,22,0,1,2,0,0
091 Schnals,1.372,39,15,21,3,0,0,0
092 Sexten,1.859,30,15,9,3,2,1,0
093 Schlanders,5.503,138,87,23,12,12,4,0
094 Schluderns,1.759,36,22,4,10,0,0,0
095 Stilfs,1.297,42,26,8,8,0,0,0
096 Terenten,1.494,12,8,3,0,1,0,0
097 Terlan,3.320,67,39,17,2,8,1,0
098 Tramin a.d. Weinstr.,3.055,83,46,13,7,16,1,0
099 Tisens,1.665,28,14,8,0,6,0,0
100 Tiers,854,5,5,0,0,0,0,0
101 Tirol,2.306,88,67,12,1,7,0,1
102 Truden im Naturpark,936,6,3,0,3,0,0,0
103 Taufers im Münstertal,959,6,3,3,0,0,0,0
104 Ulten,2.975,18,17,0,0,0,1,0
105 Pfatten,824,30,9,14,4,2,1,0
106 Olang,2.692,30,24,3,0,3,0,0
107 Pfitsch,2.555,103,18,70,14,1,0,0
108 Ahrntal,5.415,29,21,3,3,0,1,1
109 Gsies,2.058,24,16,8,0,0,0,0
110 Vintl,3.072,38,28,8,1,1,0,0
111 Vahrn,3.311,167,51,97,5,12,1,1
112 Vöran,862,8,8,0,0,0,0,0
113 Niederdorf,1.269,51,16,29,0,6,0,0
114 Villanders,1.777,7,4,2,1,0,0,0
115 Sterzing,5.531,101,55,23,3,17,3,0
116 Feldthurns,2.399,20,14,5,0,0,1,0
117 Wengen,1.236,4,1,3,0,0,0,0
118 U.L.Frau i.W.-St.Felix,770,8,7,0,1,0,0,0
